rho_bins,bin,rat,event
0.0217166397605578,1.6375,rat13,shuff
0.0195565125083121,1.7375,rat13,shuff
0.0156821780737572,1.8375,rat13,shuff
0.00948132205092805,1.9375,rat13,shuff
0.0192977522150983,2.0375,rat13,shuff
0.0445590881757116,2.1375,rat13,shuff
0.0627226226245846,2.2375,rat13,shuff
0.0695234184663683,2.3375,rat13,shuff
0.0476052349002493,2.4375,rat13,shuff
0.0379663271860973,2.5375,rat13,shuff
0.0346569109634476,2.6375,rat13,shuff
0.0207657027414342,2.7375,rat13,shuff
0.0271832818891966,2.8375,rat13,shuff
0.0292564931660556,2.9375,rat13,shuff
0.00241984099501867,3.0375,rat13,shuff
-0.011884676865115,3.1375,rat13,shuff
-0.0119297402971103,3.2375,rat13,shuff
-0.023536017416274,3.3375,rat13,shuff
-0.0261108590294014,3.4375,rat13,shuff
-0.0355054156960823,3.5375,rat13,shuff
-0.0319014127859021,3.6375,rat13,shuff
-0.0549267859414514,3.7375,rat13,shuff
-0.067702098178674,3.8375,rat13,shuff
-0.0642001033962769,3.9375,rat13,shuff
-0.0571872974164084,4.0375,rat13,shuff
-0.0637889650260442,4.1375,rat13,shuff
-0.0471054267795476,4.2375,rat13,shuff
-0.0356766808252337,4.3375,rat13,shuff
-0.0406374403369271,4.4375,rat13,shuff
-0.046489791207198,4.5375,rat13,shuff
-0.0446591543369862,4.6375,rat13,shuff
-0.0423065525127916,4.7375,rat13,shuff
-0.0102185709229981,4.8375,rat13,shuff
-0.00444666350091147,4.9375,rat13,shuff
0.0104871076698761,0.0375,rat15,shuff
0.00748241964233984,0.1375,rat15,shuff
0.00917654625893962,0.2375,rat15,shuff
0.00857815968462031,0.3375,rat15,shuff
0.00387642583700405,0.4375,rat15,shuff
0.00114441938049351,0.5375,rat15,shuff
0.0033758813433047,0.6375,rat15,shuff
0.00228026047767356,0.7375,rat15,shuff
-0.00211442824105311,0.8375,rat15,shuff
-0.00822044896621127,0.9375,rat15,shuff
-0.00305952458163729,1.0375,rat15,shuff
-0.00369852026103779,1.1375,rat15,shuff
-0.00810034786713007,1.2375,rat15,shuff
-0.00962947406711229,1.3375,rat15,shuff
-0.00559527198161165,1.4375,rat15,shuff
-0.000660922791981201,1.5375,rat15,shuff
0.00802361985906477,1.6375,rat15,shuff
0.0141412268044882,1.7375,rat15,shuff
0.0198588839957298,1.8375,rat15,shuff
0.017026080018745,1.9375,rat15,shuff
